TeamID,Team,GP,W,L,WIN%,Season
1610612744,Golden State Warriors,35,20,15,0.571,2020-21
1610612745,Houston Rockets,38,6,32,0.158,2020-21
1610612754,Indiana Pacers,37,18,19,0.486,2020-21
1610612746,LA Clippers,34,23,11,0.676,2020-21
1610612747,Los Angeles Lakers,35,18,17,0.514,2020-21
1610612763,Memphis Grizzlies,40,22,18,0.55,2020-21
1610612748,Miami Heat,36,22,14,0.611,2020-21
1610612749,Milwaukee Bucks,36,24,12,0.667,2020-21
1610612750,Minnesota Timberwolves,36,16,20,0.444,2020-21
1610612740,New Orleans Pelicans,36,16,20,0.444,2020-21
1610612752,New York Knicks,35,22,13,0.629,2020-21
1610612760,Oklahoma City Thunder,36,7,29,0.194,2020-21
1610612753,Orlando Magic,36,8,28,0.222,2020-21
1610612755,Philadelphia 76ers,36,25,11,0.694,2020-21
1610612756,Phoenix Suns,37,27,10,0.73,2020-21
1610612757,Portland Trail Blazers,37,21,16,0.568,2020-21
1610612758,Sacramento Kings,36,17,19,0.472,2020-21
1610612759,San Antonio Spurs,40,15,25,0.375,2020-21
1610612761,Toronto Raptors,36,10,26,0.278,2020-21
1610612762,Utah Jazz,36,25,11,0.694,2020-21
1610612764,Washington Wizards,38,20,18,0.526,2020-21
