Team,GP,WIN%,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,WIN%_15,OFFRTG_15,DEFRTG_15,NETRTG_15,W_Post
Detroit Pistons,52,0.423,0.484,0.302,0.161,0.35,0.516,0.286,0.17,0.306,2013-14,14,0.429,106.7,105.4,1.3,7
Golden State Warriors,53,0.585,0.514,0.259,0.164,0.295,0.477,0.295,0.155,0.267,2013-14,14,0.429,106.6,103.0,3.6,20
Houston Rockets,53,0.679,0.532,0.397,0.167,0.299,0.481,0.252,0.144,0.309,2013-14,15,0.8,109.5,103.6,5.9,18
Indiana Pacers,52,0.769,0.496,0.288,0.163,0.302,0.447,0.254,0.153,0.275,2013-14,16,0.688,105.6,98.5,7.2,16
Los Angeles Clippers,55,0.673,0.523,0.362,0.144,0.286,0.484,0.298,0.158,0.31,2013-14,16,0.688,116.2,108.0,8.2,20
Los Angeles Lakers,53,0.34,0.497,0.268,0.155,0.244,0.496,0.266,0.135,0.322,2013-14,16,0.25,104.2,107.7,-3.5,9
Memphis Grizzlies,52,0.558,0.485,0.246,0.149,0.324,0.496,0.267,0.155,0.282,2013-14,17,0.765,101.7,98.4,3.3,21
Miami Heat,51,0.725,0.56,0.313,0.16,0.234,0.516,0.299,0.183,0.311,2013-14,14,0.714,111.1,108.8,2.3,17
Milwaukee Bucks,52,0.173,0.466,0.243,0.165,0.296,0.509,0.296,0.155,0.325,2013-14,16,0.125,100.0,112.1,-12.1,6
Minnesota Timberwolves,53,0.472,0.479,0.307,0.14,0.325,0.513,0.223,0.167,0.271,2013-14,17,0.412,104.8,104.5,0.4,15
New Orleans Pelicans,52,0.442,0.492,0.272,0.147,0.316,0.51,0.331,0.155,0.309,2013-14,16,0.5,104.4,105.7,-1.4,11
New York Knicks,52,0.385,0.498,0.238,0.141,0.29,0.514,0.329,0.162,0.288,2013-14,16,0.375,108.5,108.8,-0.4,17
Oklahoma City Thunder,55,0.782,0.52,0.293,0.163,0.3,0.478,0.286,0.156,0.281,2013-14,18,0.833,111.3,103.4,7.9,16
Orlando Magic,54,0.296,0.483,0.262,0.155,0.26,0.5,0.255,0.145,0.285,2013-14,17,0.353,101.7,106.9,-5.2,7
Philadelphia 76ers,54,0.278,0.474,0.263,0.171,0.293,0.518,0.302,0.164,0.31,2013-14,17,0.176,94.5,107.7,-13.2,4
Phoenix Suns,51,0.588,0.515,0.284,0.156,0.302,0.489,0.312,0.159,0.308,2013-14,15,0.6,111.5,107.3,4.2,18
Portland Trail Blazers,53,0.679,0.505,0.264,0.142,0.332,0.494,0.256,0.123,0.285,2013-14,16,0.5,108.9,109.2,-0.3,18
Sacramento Kings,53,0.34,0.487,0.315,0.156,0.313,0.514,0.315,0.148,0.29,2013-14,19,0.316,106.5,107.2,-0.6,10
San Antonio Spurs,53,0.717,0.539,0.24,0.154,0.253,0.485,0.231,0.148,0.283,2013-14,17,0.588,107.7,104.7,2.9,24
Toronto Raptors,52,0.538,0.488,0.298,0.149,0.316,0.49,0.302,0.164,0.298,2013-14,17,0.588,109.4,105.9,3.6,20
Utah Jazz,52,0.365,0.48,0.268,0.158,0.3,0.503,0.3,0.135,0.296,2013-14,14,0.5,104.1,106.3,-2.2,6
Washington Wizards,52,0.481,0.496,0.252,0.154,0.282,0.507,0.293,0.171,0.279,2013-14,17,0.529,104.5,101.4,3.1,19
Atlanta Hawks,54,0.796,0.532,0.279,0.148,0.258,0.485,0.244,0.163,0.302,2014-15,18,0.833,112.1,102.0,10.1,17
Boston Celtics,51,0.392,0.489,0.226,0.146,0.291,0.494,0.272,0.148,0.29,2014-15,16,0.5,102.7,104.4,-1.7,20
Brooklyn Nets,52,0.404,0.487,0.27,0.154,0.277,0.502,0.268,0.146,0.298,2014-15,15,0.333,102.4,111.6,-9.2,17
Charlotte Hornets,52,0.423,0.456,0.277,0.125,0.277,0.487,0.245,0.136,0.251,2014-15,13,0.538,94.7,96.6,-1.9,11
Chicago Bulls,54,0.63,0.491,0.312,0.147,0.318,0.476,0.24,0.132,0.297,2014-15,16,0.5,108.2,105.3,2.9,16
Cleveland Cavaliers,55,0.6,0.511,0.295,0.15,0.315,0.504,0.237,0.142,0.299,2014-15,18,0.778,113.8,105.3,8.4,20
Dallas Mavericks,55,0.655,0.521,0.257,0.128,0.278,0.498,0.271,0.168,0.326,2014-15,17,0.588,105.8,102.0,3.8,14
Denver Nuggets,53,0.377,0.477,0.288,0.145,0.301,0.497,0.317,0.137,0.296,2014-15,16,0.188,99.9,108.2,-8.4,10
Detroit Pistons,54,0.389,0.479,0.269,0.144,0.315,0.507,0.243,0.149,0.283,2014-15,17,0.471,107.0,107.0,-0.1,11
Golden State Warriors,51,0.824,0.54,0.246,0.148,0.27,0.464,0.283,0.165,0.302,2014-15,17,0.765,112.2,101.5,10.7,25
Houston Rockets,53,0.679,0.51,0.294,0.173,0.312,0.487,0.292,0.171,0.312,2014-15,16,0.625,108.0,107.5,0.5,20
Indiana Pacers,54,0.389,0.477,0.257,0.153,0.296,0.486,0.283,0.135,0.257,2014-15,15,0.4,103.0,104.8,-1.9,17
Los Angeles Clippers,54,0.648,0.53,0.303,0.126,0.272,0.504,0.311,0.151,0.285,2014-15,17,0.588,112.4,108.3,4.1,21
Los Angeles Lakers,53,0.245,0.471,0.28,0.135,0.291,0.521,0.3,0.141,0.292,2014-15,16,0.063,97.5,107.5,-10.0,8
Memphis Grizzlies,53,0.736,0.492,0.286,0.137,0.293,0.491,0.251,0.164,0.283,2014-15,17,0.824,104.5,96.5,8.0,16
Miami Heat,52,0.423,0.501,0.309,0.161,0.275,0.51,0.284,0.16,0.317,2014-15,16,0.438,99.9,102.7,-2.8,15
Milwaukee Bucks,53,0.566,0.51,0.255,0.173,0.282,0.483,0.302,0.178,0.322,2014-15,14,0.714,105.9,100.0,5.9,11
Minnesota Timberwolves,53,0.208,0.467,0.295,0.157,0.322,0.541,0.251,0.161,0.305,2014-15,17,0.353,102.3,108.4,-6.0,5
New Orleans Pelicans,53,0.509,0.493,0.267,0.14,0.32,0.503,0.261,0.134,0.284,2014-15,17,0.529,107.1,107.9,-0.8,18
New York Knicks,53,0.189,0.481,0.216,0.156,0.293,0.516,0.316,0.157,0.314,2014-15,13,0.385,100.4,104.9,-4.5,7
Oklahoma City Thunder,53,0.528,0.488,0.281,0.154,0.305,0.477,0.279,0.145,0.278,2014-15,16,0.625,107.5,103.1,4.3,17
Orlando Magic,56,0.304,0.498,0.239,0.158,0.25,0.514,0.286,0.147,0.277,2014-15,16,0.25,103.4,109.8,-6.4,8
Philadelphia 76ers,53,0.226,0.456,0.3,0.193,0.284,0.5,0.292,0.177,0.317,2014-15,17,0.294,93.5,100.6,-7.0,6
Phoenix Suns,54,0.537,0.516,0.248,0.151,0.28,0.5,0.31,0.163,0.313,2014-15,15,0.467,104.2,106.2,-2.0,10
Portland Trail Blazers,53,0.679,0.503,0.231,0.143,0.284,0.467,0.247,0.134,0.276,2014-15,16,0.438,103.8,103.3,0.5,15
Sacramento Kings,52,0.346,0.483,0.367,0.169,0.314,0.5,0.278,0.128,0.274,2014-15,16,0.188,98.6,107.7,-9.1,11
San Antonio Spurs,53,0.642,0.505,0.258,0.149,0.274,0.482,0.255,0.147,0.272,2014-15,15,0.733,103.6,99.1,4.5,21
Toronto Raptors,53,0.679,0.51,0.304,0.136,0.312,0.504,0.293,0.157,0.311,2014-15,17,0.647,107.3,104.8,2.5,13
Utah Jazz,53,0.358,0.495,0.286,0.166,0.332,0.506,0.261,0.136,0.29,2014-15,15,0.4,104.5,105.6,-1.1,19
Washington Wizards,54,0.611,0.508,0.265,0.157,0.291,0.482,0.288,0.147,0.267,2014-15,18,0.444,103.5,102.0,1.4,13
Atlanta Hawks,55,0.564,0.516,0.242,0.154,0.242,0.488,0.253,0.171,0.307,2015-16,17,0.471,101.8,98.0,3.8,17
Boston Celtics,55,0.582,0.491,0.251,0.143,0.287,0.478,0.316,0.167,0.294,2015-16,19,0.684,110.0,104.1,6.0,16
Brooklyn Nets,54,0.259,0.487,0.232,0.158,0.275,0.525,0.228,0.146,0.28,2015-16,17,0.235,103.9,113.0,-9.0,7
Charlotte Hornets,53,0.509,0.492,0.283,0.134,0.249,0.498,0.246,0.139,0.244,2015-16,17,0.588,105.8,103.8,2.0,21
Chicago Bulls,52,0.519,0.477,0.246,0.145,0.299,0.474,0.242,0.122,0.29,2015-16,17,0.294,102.5,108.2,-5.7,15
Cleveland Cavaliers,52,0.731,0.518,0.263,0.143,0.294,0.49,0.274,0.143,0.258,2015-16,18,0.722,110.3,105.1,5.3,19
Dallas Mavericks,55,0.527,0.495,0.272,0.131,0.234,0.501,0.26,0.143,0.276,2015-16,18,0.444,104.2,108.2,-4.0,13
Denver Nuggets,54,0.407,0.483,0.29,0.151,0.308,0.513,0.284,0.144,0.271,2015-16,17,0.529,107.4,106.5,0.9,11
Detroit Pistons,54,0.5,0.486,0.291,0.14,0.321,0.5,0.26,0.148,0.255,2015-16,17,0.353,106.9,109.3,-2.4,17
Golden State Warriors,52,0.923,0.564,0.264,0.151,0.274,0.47,0.275,0.145,0.285,2015-16,15,0.867,115.9,102.7,13.2,25
Houston Rockets,55,0.491,0.51,0.356,0.163,0.288,0.519,0.284,0.164,0.304,2015-16,18,0.5,107.5,110.0,-2.5,14
Indiana Pacers,53,0.528,0.496,0.276,0.155,0.279,0.49,0.274,0.167,0.293,2015-16,17,0.412,103.9,105.0,-1.1,17
LA Clippers,53,0.66,0.519,0.331,0.132,0.24,0.483,0.306,0.156,0.296,2015-16,16,0.688,107.8,103.3,4.5,18
Los Angeles Lakers,55,0.2,0.458,0.286,0.145,0.27,0.514,0.274,0.131,0.293,2015-16,17,0.176,99.1,110.3,-11.1,6
Memphis Grizzlies,53,0.585,0.481,0.302,0.14,0.278,0.506,0.316,0.174,0.289,2015-16,15,0.733,111.0,107.2,3.8,11
Miami Heat,53,0.547,0.499,0.284,0.152,0.259,0.485,0.241,0.138,0.27,2015-16,16,0.438,99.7,106.3,-6.5,19
Milwaukee Bucks,54,0.407,0.495,0.278,0.161,0.29,0.506,0.302,0.159,0.315,2015-16,16,0.438,103.7,105.6,-1.9,11
Minnesota Timberwolves,54,0.315,0.487,0.334,0.154,0.285,0.516,0.283,0.148,0.29,2015-16,17,0.294,109.5,112.9,-3.4,12
New Orleans Pelicans,53,0.377,0.497,0.249,0.133,0.252,0.517,0.275,0.14,0.262,2015-16,18,0.5,108.4,108.1,0.3,10
New York Knicks,55,0.418,0.481,0.267,0.142,0.289,0.486,0.29,0.124,0.289,2015-16,17,0.294,104.9,108.9,-4.1,9
Oklahoma City Thunder,54,0.741,0.523,0.297,0.158,0.341,0.482,0.27,0.139,0.287,2015-16,17,0.824,114.0,105.2,8.9,15
Orlando Magic,52,0.442,0.495,0.217,0.153,0.28,0.5,0.278,0.153,0.274,2015-16,14,0.214,102.0,107.8,-5.8,12
Philadelphia 76ers,53,0.151,0.484,0.266,0.181,0.263,0.504,0.301,0.155,0.296,2015-16,14,0.286,99.4,104.5,-5.1,2
Phoenix Suns,54,0.259,0.494,0.264,0.171,0.287,0.528,0.311,0.156,0.273,2015-16,15,0.067,98.3,111.7,-13.4,9
Portland Trail Blazers,54,0.5,0.506,0.252,0.153,0.301,0.499,0.318,0.138,0.265,2015-16,15,0.8,109.8,102.9,6.9,17
Sacramento Kings,53,0.415,0.509,0.301,0.162,0.286,0.521,0.266,0.155,0.272,2015-16,16,0.438,106.1,108.0,-1.8,11
San Antonio Spurs,53,0.849,0.535,0.241,0.141,0.269,0.469,0.245,0.155,0.244,2015-16,15,0.867,112.6,100.8,11.9,22
Toronto Raptors,52,0.673,0.5,0.326,0.144,0.297,0.495,0.262,0.15,0.26,2015-16,13,0.846,112.6,105.7,6.9,21
Utah Jazz,52,0.5,0.497,0.293,0.159,0.308,0.496,0.306,0.156,0.279,2015-16,16,0.625,107.5,101.3,6.2,14
Washington Wizards,51,0.451,0.509,0.265,0.147,0.243,0.526,0.276,0.168,0.275,2015-16,16,0.438,107.1,108.9,-1.8,18
Atlanta Hawks,56,0.571,0.507,0.284,0.156,0.28,0.508,0.229,0.156,0.288,2016-17,17,0.588,106.7,107.9,-1.2,11
Boston Celtics,57,0.649,0.528,0.261,0.131,0.258,0.506,0.29,0.145,0.303,2016-17,17,0.706,113.7,109.7,4.0,16
Brooklyn Nets,56,0.161,0.507,0.276,0.166,0.243,0.518,0.27,0.128,0.292,2016-17,17,0.059,105.1,112.3,-7.3,11
Charlotte Hornets,56,0.429,0.496,0.284,0.125,0.252,0.512,0.213,0.132,0.251,2016-17,16,0.25,105.1,108.0,-2.9,12
Chicago Bulls,57,0.491,0.478,0.284,0.141,0.326,0.513,0.216,0.137,0.266,2016-17,16,0.5,108.0,110.0,-2.0,13
Cleveland Cavaliers,55,0.709,0.542,0.29,0.141,0.281,0.513,0.22,0.138,0.28,2016-17,16,0.625,115.5,111.5,4.0,12
Dallas Mavericks,56,0.393,0.506,0.22,0.125,0.217,0.529,0.288,0.162,0.268,2016-17,17,0.588,109.9,105.0,4.9,11
Denver Nuggets,56,0.446,0.52,0.286,0.155,0.334,0.534,0.256,0.119,0.248,2016-17,18,0.556,115.3,114.3,1.0,15
Detroit Pistons,57,0.474,0.499,0.221,0.128,0.28,0.512,0.261,0.133,0.23,2016-17,15,0.6,108.3,106.0,2.3,10
Golden State Warriors,56,0.839,0.571,0.268,0.144,0.266,0.488,0.263,0.151,0.282,2016-17,16,0.813,118.5,104.5,14.0,20
Houston Rockets,58,0.69,0.548,0.291,0.153,0.283,0.517,0.257,0.152,0.281,2016-17,16,0.563,112.0,106.8,5.2,15
Indiana Pacers,57,0.509,0.515,0.27,0.141,0.241,0.512,0.283,0.153,0.29,2016-17,18,0.5,109.2,109.5,-0.3,13
LA Clippers,56,0.625,0.531,0.301,0.134,0.258,0.499,0.278,0.136,0.271,2016-17,14,0.5,110.8,113.1,-2.3,16
Los Angeles Lakers,58,0.328,0.498,0.27,0.154,0.289,0.537,0.279,0.141,0.282,2016-17,14,0.286,104.4,111.7,-7.3,7
Memphis Grizzlies,58,0.586,0.486,0.291,0.138,0.293,0.497,0.36,0.154,0.269,2016-17,16,0.563,111.1,107.9,3.2,9
Miami Heat,57,0.439,0.506,0.251,0.141,0.278,0.497,0.276,0.139,0.282,2016-17,16,0.875,112.9,104.7,8.2,16
Milwaukee Bucks,55,0.455,0.53,0.286,0.146,0.27,0.517,0.283,0.153,0.295,2016-17,17,0.294,109.2,113.8,-4.6,17
Minnesota Timberwolves,57,0.386,0.511,0.286,0.148,0.304,0.53,0.28,0.148,0.286,2016-17,17,0.471,112.1,112.8,-0.7,9
New Orleans Pelicans,57,0.404,0.501,0.256,0.13,0.226,0.505,0.234,0.137,0.272,2016-17,16,0.438,106.0,109.9,-3.9,11
New York Knicks,57,0.404,0.5,0.237,0.144,0.314,0.508,0.28,0.131,0.302,2016-17,17,0.294,109.3,112.6,-3.3,8
Oklahoma City Thunder,57,0.561,0.497,0.296,0.153,0.319,0.51,0.281,0.14,0.269,2016-17,16,0.5,105.2,110.1,-4.9,15
Orlando Magic,58,0.362,0.49,0.242,0.139,0.266,0.519,0.259,0.136,0.277,2016-17,16,0.25,100.9,112.4,-11.5,8
Philadelphia 76ers,56,0.375,0.499,0.261,0.168,0.27,0.512,0.298,0.154,0.286,2016-17,18,0.5,104.2,108.3,-4.1,7
Phoenix Suns,57,0.316,0.492,0.297,0.155,0.303,0.529,0.335,0.152,0.28,2016-17,17,0.294,110.0,114.3,-4.3,6
Portland Trail Blazers,56,0.411,0.512,0.27,0.139,0.266,0.512,0.32,0.131,0.284,2016-17,14,0.357,106.2,110.2,-4.0,18
Sacramento Kings,57,0.421,0.512,0.298,0.152,0.269,0.531,0.306,0.153,0.268,2016-17,18,0.444,107.2,110.4,-3.2,8
San Antonio Spurs,56,0.768,0.529,0.276,0.138,0.278,0.492,0.258,0.151,0.263,2016-17,16,0.75,108.8,101.3,7.5,18
Toronto Raptors,57,0.579,0.518,0.297,0.127,0.288,0.514,0.29,0.157,0.294,2016-17,18,0.389,107.5,108.8,-1.4,18
Utah Jazz,57,0.614,0.524,0.298,0.146,0.262,0.489,0.252,0.133,0.259,2016-17,15,0.6,109.8,104.4,5.4,16
Washington Wizards,55,0.618,0.529,0.244,0.146,0.283,0.514,0.282,0.158,0.29,2016-17,16,0.875,115.5,105.0,10.4,15
Atlanta Hawks,59,0.305,0.514,0.241,0.155,0.272,0.538,0.247,0.161,0.296,2017-18,17,0.412,106.4,110.2,-3.8,6
Boston Celtics,59,0.678,0.514,0.24,0.143,0.26,0.488,0.261,0.146,0.265,2017-18,15,0.4,105.0,106.8,-1.8,15
Brooklyn Nets,59,0.322,0.505,0.264,0.153,0.259,0.514,0.267,0.123,0.262,2017-18,16,0.188,105.9,113.4,-7.5,9
Charlotte Hornets,57,0.421,0.497,0.309,0.129,0.276,0.528,0.218,0.142,0.231,2017-18,16,0.5,111.3,111.1,0.3,12
Chicago Bulls,57,0.351,0.5,0.215,0.137,0.244,0.534,0.234,0.13,0.233,2017-18,14,0.286,105.1,110.7,-5.6,7
Cleveland Cavaliers,56,0.607,0.547,0.279,0.143,0.236,0.542,0.219,0.137,0.272,2017-18,14,0.571,110.8,113.1,-2.3,16
Dallas Mavericks,58,0.31,0.515,0.224,0.128,0.222,0.535,0.262,0.146,0.249,2017-18,14,0.214,106.2,109.8,-3.7,6
Denver Nuggets,58,0.552,0.531,0.25,0.155,0.302,0.541,0.228,0.146,0.254,2017-18,15,0.667,114.4,112.5,1.9,14
Detroit Pistons,57,0.491,0.512,0.228,0.14,0.27,0.526,0.224,0.155,0.256,2017-18,16,0.375,107.3,109.5,-2.2,11
Golden State Warriors,58,0.759,0.579,0.246,0.157,0.252,0.498,0.25,0.141,0.288,2017-18,14,0.643,114.1,109.5,4.6,14
Houston Rockets,57,0.772,0.555,0.304,0.14,0.252,0.529,0.237,0.148,0.237,2017-18,16,0.875,116.0,105.5,10.5,21
Indiana Pacers,58,0.569,0.534,0.231,0.136,0.265,0.529,0.229,0.155,0.285,2017-18,16,0.688,110.6,107.4,3.2,15
LA Clippers,56,0.536,0.524,0.295,0.148,0.273,0.512,0.268,0.147,0.284,2017-18,14,0.643,108.4,106.2,2.2,12
Los Angeles Lakers,57,0.404,0.51,0.26,0.156,0.284,0.516,0.252,0.145,0.279,2017-18,15,0.533,109.5,110.2,-0.6,12
Memphis Grizzlies,56,0.321,0.502,0.266,0.155,0.275,0.518,0.334,0.154,0.279,2017-18,15,0.333,104.9,109.9,-5.0,4
Miami Heat,58,0.517,0.518,0.229,0.155,0.259,0.508,0.274,0.14,0.252,2017-18,17,0.353,104.3,105.1,-0.9,14
Milwaukee Bucks,57,0.561,0.531,0.29,0.141,0.236,0.524,0.291,0.16,0.286,2017-18,16,0.625,105.7,104.0,1.8,12
Minnesota Timberwolves,61,0.59,0.526,0.284,0.129,0.292,0.543,0.232,0.16,0.28,2017-18,17,0.471,115.5,114.9,0.5,11
New Orleans Pelicans,57,0.544,0.544,0.256,0.15,0.239,0.522,0.228,0.144,0.271,2017-18,16,0.625,106.6,106.2,0.3,17
New York Knicks,59,0.39,0.508,0.233,0.156,0.295,0.518,0.262,0.139,0.267,2017-18,17,0.235,104.3,110.5,-6.2,6
Oklahoma City Thunder,59,0.559,0.513,0.268,0.144,0.324,0.524,0.26,0.165,0.274,2017-18,16,0.625,114.3,109.6,4.6,15
Orlando Magic,57,0.316,0.52,0.245,0.148,0.254,0.528,0.244,0.143,0.29,2017-18,14,0.429,110.1,109.6,0.5,7
Philadelphia 76ers,55,0.545,0.527,0.269,0.173,0.292,0.491,0.303,0.142,0.27,2017-18,16,0.688,109.0,102.2,6.8,22
Phoenix Suns,59,0.305,0.493,0.282,0.155,0.278,0.532,0.282,0.132,0.28,2017-18,16,0.125,102.0,117.0,-14.9,3
Portland Trail Blazers,58,0.552,0.513,0.239,0.144,0.277,0.505,0.255,0.129,0.26,2017-18,16,0.625,112.0,110.7,1.3,17
Sacramento Kings,57,0.316,0.506,0.202,0.149,0.263,0.55,0.258,0.154,0.275,2017-18,15,0.333,104.9,110.4,-5.6,9
San Antonio Spurs,59,0.593,0.51,0.237,0.143,0.277,0.505,0.222,0.145,0.253,2017-18,15,0.4,106.6,104.7,2.0,12
Toronto Raptors,57,0.719,0.536,0.252,0.134,0.273,0.498,0.282,0.152,0.281,2017-18,16,0.75,112.5,102.5,10.0,18
Utah Jazz,58,0.517,0.524,0.248,0.147,0.245,0.52,0.258,0.156,0.242,2017-18,16,0.813,112.7,103.6,9.2,18
Washington Wizards,57,0.579,0.524,0.263,0.145,0.273,0.516,0.279,0.155,0.275,2017-18,14,0.571,110.4,110.4,0.0,10
Atlanta Hawks,58,0.328,0.52,0.261,0.175,0.288,0.544,0.309,0.148,0.287,2018-19,16,0.375,112.0,117.3,-5.4,10
Boston Celtics,58,0.638,0.537,0.213,0.13,0.266,0.508,0.268,0.154,0.27,2018-19,16,0.75,115.2,108.8,6.4,12
Brooklyn Nets,59,0.508,0.521,0.283,0.149,0.289,0.52,0.248,0.131,0.278,2018-19,15,0.6,110.2,109.3,0.9,12
Charlotte Hornets,57,0.474,0.514,0.26,0.124,0.271,0.533,0.23,0.136,0.265,2018-19,15,0.533,110.4,112.7,-2.4,12
Chicago Bulls,58,0.241,0.505,0.231,0.147,0.235,0.534,0.248,0.138,0.278,2018-19,15,0.267,109.9,113.7,-3.8,8
Cleveland Cavaliers,58,0.207,0.496,0.234,0.139,0.282,0.558,0.239,0.128,0.274,2018-19,15,0.267,104.7,114.0,-9.3,7
Dallas Mavericks,57,0.456,0.52,0.301,0.153,0.287,0.518,0.241,0.137,0.266,2018-19,15,0.4,109.2,111.1,-1.9,7
Denver Nuggets,57,0.684,0.533,0.235,0.136,0.315,0.525,0.259,0.139,0.255,2018-19,16,0.688,117.8,112.8,5.0,15
