TeamID,Team,GP,W,L,WIN%,MIN,EOFFRTG,OFFRTG,EDEFRTG,DEFRTG,ENETRTG,NETRTG,Season
1610612749,Milwaukee Bucks,16,2,14,0.125,768.0,98.4,100.0,111.3,112.1,-12.9,-12.1,2013-14
1610612750,Minnesota Timberwolves,17,7,10,0.412,816.0,102.6,104.8,103.1,104.5,-0.5,0.4,2013-14
1610612740,New Orleans Pelicans,16,8,8,0.5,768.0,102.8,104.4,103.7,105.7,-0.8,-1.4,2013-14
1610612752,New York Knicks,16,6,10,0.375,778.0,107.2,108.5,107.7,108.8,-0.4,-0.4,2013-14
1610612760,Oklahoma City Thunder,18,15,3,0.833,864.0,110.0,111.3,101.5,103.4,8.5,7.9,2013-14
1610612753,Orlando Magic,17,6,11,0.353,831.0,100.3,101.7,105.3,106.9,-5.0,-5.2,2013-14
1610612755,Philadelphia 76ers,17,3,14,0.176,816.0,92.4,94.5,107.0,107.7,-14.6,-13.2,2013-14
1610612756,Phoenix Suns,15,9,6,0.6,725.0,110.0,111.5,105.5,107.3,4.5,4.2,2013-14
1610612757,Portland Trail Blazers,16,8,8,0.5,773.0,105.1,108.9,107.2,109.2,-2.1,-0.3,2013-14
1610612758,Sacramento Kings,19,6,13,0.316,922.0,104.3,106.5,105.8,107.2,-1.6,-0.6,2013-14
1610612759,San Antonio Spurs,17,10,7,0.588,826.0,106.7,107.7,103.2,104.7,3.4,2.9,2013-14
1610612761,Toronto Raptors,17,10,7,0.588,816.0,108.3,109.4,103.8,105.9,4.6,3.6,2013-14
1610612762,Utah Jazz,14,7,7,0.5,672.0,102.6,104.1,105.3,106.3,-2.6,-2.2,2013-14
1610612764,Washington Wizards,17,9,8,0.529,831.0,103.2,104.5,100.6,101.4,2.6,3.1,2013-14
1610612737,Atlanta Hawks,18,15,3,0.833,864.0,110.7,112.1,100.2,102.0,10.5,10.1,2014-15
1610612738,Boston Celtics,16,8,8,0.5,768.0,100.9,102.7,104.0,104.4,-3.2,-1.7,2014-15
1610612751,Brooklyn Nets,15,5,10,0.333,725.0,100.9,102.4,110.0,111.6,-9.1,-9.2,2014-15
1610612766,Charlotte Hornets,13,7,6,0.538,629.0,92.9,94.7,93.7,96.6,-0.8,-1.9,2014-15
1610612741,Chicago Bulls,16,8,8,0.5,783.0,106.7,108.2,103.5,105.3,3.2,2.9,2014-15
1610612739,Cleveland Cavaliers,18,14,4,0.778,864.0,111.5,113.8,103.7,105.3,7.8,8.4,2014-15
1610612742,Dallas Mavericks,17,10,7,0.588,826.0,104.5,105.8,100.8,102.0,3.7,3.8,2014-15
1610612743,Denver Nuggets,16,3,13,0.188,773.0,98.8,99.9,106.8,108.2,-8.0,-8.4,2014-15
1610612765,Detroit Pistons,17,8,9,0.471,816.0,105.0,107.0,105.7,107.0,-0.7,-0.1,2014-15
1610612744,Golden State Warriors,17,13,4,0.765,821.0,110.6,112.2,99.5,101.5,11.1,10.7,2014-15
1610612745,Houston Rockets,16,10,6,0.625,768.0,106.5,108.0,105.4,107.5,1.1,0.5,2014-15
1610612754,Indiana Pacers,15,6,9,0.4,725.0,101.3,103.0,102.1,104.8,-0.8,-1.9,2014-15
1610612746,Los Angeles Clippers,17,10,7,0.588,816.0,110.6,112.4,107.1,108.3,3.5,4.1,2014-15
1610612747,Los Angeles Lakers,16,1,15,0.063,788.0,96.2,97.5,106.6,107.5,-10.4,-10.0,2014-15
1610612763,Memphis Grizzlies,17,14,3,0.824,826.0,103.1,104.5,95.4,96.5,7.7,8.0,2014-15
1610612748,Miami Heat,16,7,9,0.438,768.0,98.4,99.9,100.3,102.7,-1.9,-2.8,2014-15
1610612749,Milwaukee Bucks,14,10,4,0.714,677.0,104.9,105.9,98.1,100.0,6.8,5.9,2014-15
1610612750,Minnesota Timberwolves,17,6,11,0.353,816.0,100.3,102.3,107.0,108.4,-6.7,-6.0,2014-15
1610612740,New Orleans Pelicans,17,9,8,0.529,816.0,104.8,107.1,105.7,107.9,-0.9,-0.8,2014-15
1610612752,New York Knicks,13,5,8,0.385,624.0,99.1,100.4,103.5,104.9,-4.4,-4.5,2014-15
