TeamID,Team,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season
1610612748,Miami Heat,53,29,24,0.547,2559.0,0.499,0.284,0.152,0.259,0.485,0.241,0.138,0.27,2015-16
1610612749,Milwaukee Bucks,54,22,32,0.407,2607.0,0.495,0.278,0.161,0.29,0.506,0.302,0.159,0.315,2015-16
1610612750,Minnesota Timberwolves,54,17,37,0.315,2617.0,0.487,0.334,0.154,0.285,0.516,0.283,0.148,0.29,2015-16
1610612740,New Orleans Pelicans,53,20,33,0.377,2559.0,0.497,0.249,0.133,0.252,0.517,0.275,0.14,0.262,2015-16
1610612752,New York Knicks,55,23,32,0.418,2665.0,0.481,0.267,0.142,0.289,0.486,0.29,0.124,0.289,2015-16
1610612760,Oklahoma City Thunder,54,40,14,0.741,2612.0,0.523,0.297,0.158,0.341,0.482,0.27,0.139,0.287,2015-16
1610612753,Orlando Magic,52,23,29,0.442,2536.0,0.495,0.217,0.153,0.28,0.5,0.278,0.153,0.274,2015-16
1610612755,Philadelphia 76ers,53,8,45,0.151,2564.0,0.484,0.266,0.181,0.263,0.504,0.301,0.155,0.296,2015-16
1610612756,Phoenix Suns,54,14,40,0.259,2597.0,0.494,0.264,0.171,0.287,0.528,0.311,0.156,0.273,2015-16
1610612757,Portland Trail Blazers,54,27,27,0.5,2607.0,0.506,0.252,0.153,0.301,0.499,0.318,0.138,0.265,2015-16
1610612758,Sacramento Kings,53,22,31,0.415,2569.0,0.509,0.301,0.162,0.286,0.521,0.266,0.155,0.272,2015-16
1610612759,San Antonio Spurs,53,45,8,0.849,2544.0,0.535,0.241,0.141,0.269,0.469,0.245,0.155,0.244,2015-16
1610612761,Toronto Raptors,52,35,17,0.673,2506.0,0.5,0.326,0.144,0.297,0.495,0.262,0.15,0.26,2015-16
1610612762,Utah Jazz,52,26,26,0.5,2536.0,0.497,0.293,0.159,0.308,0.496,0.306,0.156,0.279,2015-16
1610612764,Washington Wizards,51,23,28,0.451,2448.0,0.509,0.265,0.147,0.243,0.526,0.276,0.168,0.275,2015-16
1610612737,Atlanta Hawks,56,32,24,0.571,2723.0,0.507,0.284,0.156,0.28,0.508,0.229,0.156,0.288,2016-17
1610612738,Boston Celtics,57,37,20,0.649,2751.0,0.528,0.261,0.131,0.258,0.506,0.29,0.145,0.303,2016-17
1610612751,Brooklyn Nets,56,9,47,0.161,2703.0,0.507,0.276,0.166,0.243,0.518,0.27,0.128,0.292,2016-17
1610612766,Charlotte Hornets,56,24,32,0.429,2703.0,0.496,0.284,0.125,0.252,0.512,0.213,0.132,0.251,2016-17
1610612741,Chicago Bulls,57,28,29,0.491,2746.0,0.478,0.284,0.141,0.326,0.513,0.216,0.137,0.266,2016-17
1610612739,Cleveland Cavaliers,55,39,16,0.709,2660.0,0.542,0.29,0.141,0.281,0.513,0.22,0.138,0.28,2016-17
1610612742,Dallas Mavericks,56,22,34,0.393,2708.0,0.506,0.22,0.125,0.217,0.529,0.288,0.162,0.268,2016-17
1610612743,Denver Nuggets,56,25,31,0.446,2703.0,0.52,0.286,0.155,0.334,0.534,0.256,0.119,0.248,2016-17
1610612765,Detroit Pistons,57,27,30,0.474,2746.0,0.499,0.221,0.128,0.28,0.512,0.261,0.133,0.23,2016-17
1610612744,Golden State Warriors,56,47,9,0.839,2708.0,0.571,0.268,0.144,0.266,0.488,0.263,0.151,0.282,2016-17
1610612745,Houston Rockets,58,40,18,0.69,2804.0,0.548,0.291,0.153,0.283,0.517,0.257,0.152,0.281,2016-17
1610612754,Indiana Pacers,57,29,28,0.509,2761.0,0.515,0.27,0.141,0.241,0.512,0.283,0.153,0.29,2016-17
1610612746,LA Clippers,56,35,21,0.625,2698.0,0.531,0.301,0.134,0.258,0.499,0.278,0.136,0.271,2016-17
1610612747,Los Angeles Lakers,58,19,39,0.328,2784.0,0.498,0.27,0.154,0.289,0.537,0.279,0.141,0.282,2016-17
1610612763,Memphis Grizzlies,58,34,24,0.586,2824.0,0.486,0.291,0.138,0.293,0.497,0.36,0.154,0.269,2016-17
1610612748,Miami Heat,57,25,32,0.439,2751.0,0.506,0.251,0.141,0.278,0.497,0.276,0.139,0.282,2016-17
1610612749,Milwaukee Bucks,55,25,30,0.455,2655.0,0.53,0.286,0.146,0.27,0.517,0.283,0.153,0.295,2016-17
1610612750,Minnesota Timberwolves,57,22,35,0.386,2751.0,0.511,0.286,0.148,0.304,0.53,0.28,0.148,0.286,2016-17
1610612740,New Orleans Pelicans,57,23,34,0.404,2771.0,0.501,0.256,0.13,0.226,0.505,0.234,0.137,0.272,2016-17
1610612752,New York Knicks,57,23,34,0.404,2771.0,0.5,0.237,0.144,0.314,0.508,0.28,0.131,0.302,2016-17
1610612760,Oklahoma City Thunder,57,32,25,0.561,2756.0,0.497,0.296,0.153,0.319,0.51,0.281,0.14,0.269,2016-17
1610612753,Orlando Magic,58,21,37,0.362,2799.0,0.49,0.242,0.139,0.266,0.519,0.259,0.136,0.277,2016-17
1610612755,Philadelphia 76ers,56,21,35,0.375,2708.0,0.499,0.261,0.168,0.27,0.512,0.298,0.154,0.286,2016-17
1610612756,Phoenix Suns,57,18,39,0.316,2761.0,0.492,0.297,0.155,0.303,0.529,0.335,0.152,0.28,2016-17
1610612757,Portland Trail Blazers,56,23,33,0.411,2723.0,0.512,0.27,0.139,0.266,0.512,0.32,0.131,0.284,2016-17
1610612758,Sacramento Kings,57,24,33,0.421,2766.0,0.512,0.298,0.152,0.269,0.531,0.306,0.153,0.268,2016-17
1610612759,San Antonio Spurs,56,43,13,0.768,2698.0,0.529,0.276,0.138,0.278,0.492,0.258,0.151,0.263,2016-17
1610612761,Toronto Raptors,57,33,24,0.579,2751.0,0.518,0.297,0.127,0.288,0.514,0.29,0.157,0.294,2016-17
1610612762,Utah Jazz,57,35,22,0.614,2746.0,0.524,0.298,0.146,0.262,0.489,0.252,0.133,0.259,2016-17
1610612764,Washington Wizards,55,34,21,0.618,2665.0,0.529,0.244,0.146,0.283,0.514,0.282,0.158,0.29,2016-17
1610612737,Atlanta Hawks,59,18,41,0.305,2837.0,0.514,0.241,0.155,0.272,0.538,0.247,0.161,0.296,2017-18
1610612738,Boston Celtics,59,40,19,0.678,2847.0,0.514,0.24,0.143,0.26,0.488,0.261,0.146,0.265,2017-18
